checkpoints, 0, epoch, 0001, loss, -1.3518, best_checkpoints, 0, epoch 0001, loss, -1.3518
checkpoints, 0, epoch, 0002, loss, -2.7183, best_checkpoints, 0, epoch 0002, loss, -2.7183
checkpoints, 0, epoch, 0003, loss, -3.3691, best_checkpoints, 0, epoch 0003, loss, -3.3691
checkpoints, 0, epoch, 0004, loss, -4.0184, best_checkpoints, 0, epoch 0004, loss, -4.0184
checkpoints, 0, epoch, 0005, loss, -4.5060, best_checkpoints, 0, epoch 0005, loss, -4.5060
checkpoints, 0, epoch, 0006, loss, -5.5451, best_checkpoints, 0, epoch 0006, loss, -5.5451
checkpoints, 0, epoch, 0007, loss, -5.7840, best_checkpoints, 0, epoch 0007, loss, -5.7840
checkpoints, 0, epoch, 0008, loss, -6.1743, best_checkpoints, 0, epoch 0008, loss, -6.1743
checkpoints, 0, epoch, 0010, loss, -6.3762, best_checkpoints, 0, epoch 0010, loss, -6.3762
checkpoints, 0, epoch, 0012, loss, -6.4350, best_checkpoints, 0, epoch 0012, loss, -6.4350
checkpoints, 0, epoch, 0024, loss, -6.4385, best_checkpoints, 0, epoch 0024, loss, -6.4385
checkpoints, 0, epoch, 0028, loss, -6.4401, best_checkpoints, 0, epoch 0028, loss, -6.4401
checkpoints, 0, epoch, 0029, loss, -6.4703, best_checkpoints, 0, epoch 0029, loss, -6.4703
checkpoints, 0, epoch, 0040, loss, -6.5047, best_checkpoints, 0, epoch 0040, loss, -6.5047
checkpoints, 0, epoch, 0042, loss, -6.5053, best_checkpoints, 0, epoch 0042, loss, -6.5053
checkpoints, 0, epoch, 0054, loss, -6.5312, best_checkpoints, 0, epoch 0054, loss, -6.5312
checkpoints, 0, epoch, 0061, loss, -6.5428, best_checkpoints, 0, epoch 0061, loss, -6.5428
checkpoints, 0, epoch, 0070, loss, -6.5593, best_checkpoints, 0, epoch 0070, loss, -6.5593
checkpoints, 0, epoch, 0075, loss, -6.5670, best_checkpoints, 0, epoch 0075, loss, -6.5670
checkpoints, 0, epoch, 0079, loss, -6.5809, best_checkpoints, 0, epoch 0079, loss, -6.5809
checkpoints, 0, epoch, 0088, loss, -6.6513, best_checkpoints, 0, epoch 0088, loss, -6.6513
checkpoints, 0, epoch, 0092, loss, -6.6680, best_checkpoints, 0, epoch 0092, loss, -6.6680
checkpoints, 0, epoch, 0095, loss, -6.7000, best_checkpoints, 0, epoch 0095, loss, -6.7000
checkpoints, 0, epoch, 0097, loss, -6.7047, best_checkpoints, 0, epoch 0097, loss, -6.7047
checkpoints, 0, epoch, 0101, loss, -6.7988, best_checkpoints, 0, epoch 0101, loss, -6.7988
checkpoints, 0, epoch, 0105, loss, -6.8485, best_checkpoints, 0, epoch 0105, loss, -6.8485
checkpoints, 0, epoch, 0106, loss, -6.8770, best_checkpoints, 0, epoch 0106, loss, -6.8770
checkpoints, 0, epoch, 0110, loss, -6.8840, best_checkpoints, 0, epoch 0110, loss, -6.8840
checkpoints, 0, epoch, 0115, loss, -6.9938, best_checkpoints, 0, epoch 0115, loss, -6.9938
checkpoints, 0, epoch, 0117, loss, -7.0802, best_checkpoints, 0, epoch 0117, loss, -7.0802
checkpoints, 0, epoch, 0118, loss, -7.0994, best_checkpoints, 0, epoch 0118, loss, -7.0994
checkpoints, 0, epoch, 0119, loss, -7.1447, best_checkpoints, 0, epoch 0119, loss, -7.1447
checkpoints, 0, epoch, 0121, loss, -7.2002, best_checkpoints, 0, epoch 0121, loss, -7.2002
checkpoints, 0, epoch, 0126, loss, -7.2088, best_checkpoints, 0, epoch 0126, loss, -7.2088
checkpoints, 0, epoch, 0127, loss, -7.2336, best_checkpoints, 0, epoch 0127, loss, -7.2336
checkpoints, 0, epoch, 0129, loss, -7.3383, best_checkpoints, 0, epoch 0129, loss, -7.3383
checkpoints, 0, epoch, 0130, loss, -7.3566, best_checkpoints, 0, epoch 0130, loss, -7.3566
checkpoints, 0, epoch, 0131, loss, -7.3986, best_checkpoints, 0, epoch 0131, loss, -7.3986
checkpoints, 0, epoch, 0134, loss, -7.4014, best_checkpoints, 0, epoch 0134, loss, -7.4014
checkpoints, 0, epoch, 0137, loss, -7.5080, best_checkpoints, 0, epoch 0137, loss, -7.5080
checkpoints, 0, epoch, 0138, loss, -7.5168, best_checkpoints, 0, epoch 0138, loss, -7.5168
