checkpoints, 0, epoch, 0001, loss, -0.3138, best_checkpoints, 0, epoch 0001, loss, -0.3138
checkpoints, 0, epoch, 0002, loss, -2.7705, best_checkpoints, 0, epoch 0002, loss, -2.7705
checkpoints, 0, epoch, 0003, loss, -3.6165, best_checkpoints, 0, epoch 0003, loss, -3.6165
checkpoints, 0, epoch, 0004, loss, -4.2684, best_checkpoints, 0, epoch 0004, loss, -4.2684
checkpoints, 0, epoch, 0005, loss, -5.0501, best_checkpoints, 0, epoch 0005, loss, -5.0501
checkpoints, 0, epoch, 0006, loss, -5.6043, best_checkpoints, 0, epoch 0006, loss, -5.6043
checkpoints, 0, epoch, 0007, loss, -5.9937, best_checkpoints, 0, epoch 0007, loss, -5.9937
checkpoints, 0, epoch, 0008, loss, -6.1899, best_checkpoints, 0, epoch 0008, loss, -6.1899
checkpoints, 0, epoch, 0009, loss, -6.2483, best_checkpoints, 0, epoch 0009, loss, -6.2483
checkpoints, 0, epoch, 0010, loss, -6.3717, best_checkpoints, 0, epoch 0010, loss, -6.3717
checkpoints, 0, epoch, 0011, loss, -6.4057, best_checkpoints, 0, epoch 0011, loss, -6.4057
checkpoints, 0, epoch, 0015, loss, -6.4560, best_checkpoints, 0, epoch 0015, loss, -6.4560
checkpoints, 0, epoch, 0017, loss, -6.4713, best_checkpoints, 0, epoch 0017, loss, -6.4713
checkpoints, 0, epoch, 0020, loss, -6.4739, best_checkpoints, 0, epoch 0020, loss, -6.4739
checkpoints, 0, epoch, 0024, loss, -6.4841, best_checkpoints, 0, epoch 0024, loss, -6.4841
checkpoints, 0, epoch, 0025, loss, -6.4945, best_checkpoints, 0, epoch 0025, loss, -6.4945
checkpoints, 0, epoch, 0036, loss, -6.4968, best_checkpoints, 0, epoch 0036, loss, -6.4968
checkpoints, 0, epoch, 0046, loss, -6.5008, best_checkpoints, 0, epoch 0046, loss, -6.5008
checkpoints, 0, epoch, 0050, loss, -6.5040, best_checkpoints, 0, epoch 0050, loss, -6.5040
checkpoints, 0, epoch, 0057, loss, -6.5112, best_checkpoints, 0, epoch 0057, loss, -6.5112
checkpoints, 0, epoch, 0073, loss, -6.5194, best_checkpoints, 0, epoch 0073, loss, -6.5194
checkpoints, 0, epoch, 0084, loss, -6.5208, best_checkpoints, 0, epoch 0084, loss, -6.5208
checkpoints, 0, epoch, 0134, loss, -6.5320, best_checkpoints, 0, epoch 0134, loss, -6.5320
