checkpoints, 0, epoch, 0001, loss, -1.2097, best_checkpoints, 0, epoch 0001, loss, -1.2097
checkpoints, 0, epoch, 0002, loss, -4.0420, best_checkpoints, 0, epoch 0002, loss, -4.0420
checkpoints, 0, epoch, 0003, loss, -6.0448, best_checkpoints, 0, epoch 0003, loss, -6.0448
checkpoints, 0, epoch, 0004, loss, -7.4570, best_checkpoints, 0, epoch 0004, loss, -7.4570
checkpoints, 0, epoch, 0005, loss, -8.8885, best_checkpoints, 0, epoch 0005, loss, -8.8885
checkpoints, 0, epoch, 0006, loss, -9.7626, best_checkpoints, 0, epoch 0006, loss, -9.7626
checkpoints, 0, epoch, 0007, loss, -10.4168, best_checkpoints, 0, epoch 0007, loss, -10.4168
checkpoints, 0, epoch, 0008, loss, -10.4749, best_checkpoints, 0, epoch 0008, loss, -10.4749
checkpoints, 0, epoch, 0009, loss, -10.8001, best_checkpoints, 0, epoch 0009, loss, -10.8001
checkpoints, 0, epoch, 0010, loss, -11.3439, best_checkpoints, 0, epoch 0010, loss, -11.3439
checkpoints, 0, epoch, 0011, loss, -11.6641, best_checkpoints, 0, epoch 0011, loss, -11.6641
checkpoints, 0, epoch, 0014, loss, -11.9523, best_checkpoints, 0, epoch 0014, loss, -11.9523
checkpoints, 0, epoch, 0018, loss, -12.4669, best_checkpoints, 0, epoch 0018, loss, -12.4669
checkpoints, 0, epoch, 0019, loss, -12.5098, best_checkpoints, 0, epoch 0019, loss, -12.5098
checkpoints, 0, epoch, 0027, loss, -13.2568, best_checkpoints, 0, epoch 0027, loss, -13.2568
checkpoints, 0, epoch, 0035, loss, -13.4856, best_checkpoints, 0, epoch 0035, loss, -13.4856
checkpoints, 0, epoch, 0040, loss, -13.5103, best_checkpoints, 0, epoch 0040, loss, -13.5103
checkpoints, 0, epoch, 0041, loss, -13.7065, best_checkpoints, 0, epoch 0041, loss, -13.7065
checkpoints, 0, epoch, 0052, loss, -13.8984, best_checkpoints, 0, epoch 0052, loss, -13.8984
checkpoints, 0, epoch, 0056, loss, -13.9798, best_checkpoints, 0, epoch 0056, loss, -13.9798
checkpoints, 0, epoch, 0060, loss, -14.0038, best_checkpoints, 0, epoch 0060, loss, -14.0038
checkpoints, 0, epoch, 0067, loss, -14.0777, best_checkpoints, 0, epoch 0067, loss, -14.0777
checkpoints, 0, epoch, 0076, loss, -14.2297, best_checkpoints, 0, epoch 0076, loss, -14.2297
checkpoints, 0, epoch, 0078, loss, -14.3213, best_checkpoints, 0, epoch 0078, loss, -14.3213
checkpoints, 0, epoch, 0104, loss, -14.3654, best_checkpoints, 0, epoch 0104, loss, -14.3654
checkpoints, 0, epoch, 0110, loss, -14.4181, best_checkpoints, 0, epoch 0110, loss, -14.4181
checkpoints, 0, epoch, 0112, loss, -14.4559, best_checkpoints, 0, epoch 0112, loss, -14.4559
checkpoints, 0, epoch, 0115, loss, -14.4572, best_checkpoints, 0, epoch 0115, loss, -14.4572
checkpoints, 0, epoch, 0120, loss, -14.4859, best_checkpoints, 0, epoch 0120, loss, -14.4859
checkpoints, 0, epoch, 0127, loss, -14.5793, best_checkpoints, 0, epoch 0127, loss, -14.5793
checkpoints, 0, epoch, 0138, loss, -14.5847, best_checkpoints, 0, epoch 0138, loss, -14.5847
checkpoints, 0, epoch, 0142, loss, -14.6304, best_checkpoints, 0, epoch 0142, loss, -14.6304
checkpoints, 0, epoch, 0161, loss, -14.6589, best_checkpoints, 0, epoch 0161, loss, -14.6589
