epoch1, nmse_loss=-3.18061
epoch2, nmse_loss=-6.70976
epoch3, nmse_loss=-7.60748
epoch4, nmse_loss=-10.05779
epoch5, nmse_loss=-11.78321
epoch6, nmse_loss=-12.94963
epoch7, nmse_loss=-14.11434
epoch8, nmse_loss=-15.72154
epoch9, nmse_loss=-16.26035
epoch10, nmse_loss=-14.44671
epoch11, nmse_loss=-16.96421
epoch12, nmse_loss=-15.46406
epoch13, nmse_loss=-16.14984
epoch14, nmse_loss=-13.37162
epoch15, nmse_loss=-17.19135
epoch16, nmse_loss=-18.14185
epoch17, nmse_loss=-11.01271
epoch18, nmse_loss=-18.57353
epoch19, nmse_loss=-18.16594
epoch20, nmse_loss=-12.52977
epoch21, nmse_loss=-13.31732
epoch22, nmse_loss=-17.48526
epoch23, nmse_loss=-17.67237
epoch24, nmse_loss=-10.40759
epoch25, nmse_loss=-18.49556
epoch26, nmse_loss=-17.52070
epoch27, nmse_loss=-17.82895
epoch28, nmse_loss=-15.47067
epoch29, nmse_loss=-11.99305
epoch30, nmse_loss=-17.00508
epoch31, nmse_loss=-15.34778
epoch32, nmse_loss=-16.58946
epoch33, nmse_loss=-15.33512
epoch34, nmse_loss=-11.77877
epoch35, nmse_loss=-15.92426
epoch36, nmse_loss=-10.27526
epoch37, nmse_loss=-20.10528
epoch38, nmse_loss=-11.78851
epoch39, nmse_loss=-14.48016
epoch40, nmse_loss=-15.36594
epoch41, nmse_loss=-19.73016
epoch42, nmse_loss=-21.14468
epoch43, nmse_loss=-18.23727
epoch44, nmse_loss=-18.23117
epoch45, nmse_loss=-17.45385
epoch46, nmse_loss=-20.34886
epoch47, nmse_loss=-21.86545
epoch48, nmse_loss=-20.56373
epoch49, nmse_loss=-23.28016
epoch50, nmse_loss=-22.52417
