epoch1, nmse_loss=-0.31384
epoch2, nmse_loss=-2.77052
epoch3, nmse_loss=-3.61653
epoch4, nmse_loss=-4.26841
epoch5, nmse_loss=-5.05010
epoch6, nmse_loss=-5.60425
epoch7, nmse_loss=-5.99370
epoch8, nmse_loss=-6.18987
epoch9, nmse_loss=-6.24835
epoch10, nmse_loss=-6.37172
epoch11, nmse_loss=-6.40570
epoch12, nmse_loss=-6.37414
epoch13, nmse_loss=-6.40558
epoch14, nmse_loss=-5.72748
epoch15, nmse_loss=-6.45604
epoch16, nmse_loss=-6.09489
epoch17, nmse_loss=-6.47133
epoch18, nmse_loss=-6.12777
epoch19, nmse_loss=-5.95882
epoch20, nmse_loss=-6.47393
epoch21, nmse_loss=-6.15149
epoch22, nmse_loss=-6.40835
epoch23, nmse_loss=-6.44309
epoch24, nmse_loss=-6.48410
epoch25, nmse_loss=-6.49449
epoch26, nmse_loss=-6.47961
epoch27, nmse_loss=-6.30964
epoch28, nmse_loss=-6.45751
epoch29, nmse_loss=-6.04255
epoch30, nmse_loss=-6.20019
epoch31, nmse_loss=-6.47036
epoch32, nmse_loss=-5.66353
epoch33, nmse_loss=-6.46508
epoch34, nmse_loss=-6.16180
epoch35, nmse_loss=-5.95687
epoch36, nmse_loss=-6.49677
epoch37, nmse_loss=-6.16437
epoch38, nmse_loss=-6.45906
epoch39, nmse_loss=-6.40964
epoch40, nmse_loss=-6.33708
epoch41, nmse_loss=-6.43499
epoch42, nmse_loss=-6.47360
epoch43, nmse_loss=-6.30721
epoch44, nmse_loss=-6.49140
epoch45, nmse_loss=-6.45280
epoch46, nmse_loss=-6.50083
epoch47, nmse_loss=-6.48453
epoch48, nmse_loss=-6.24621
epoch49, nmse_loss=-6.46892
epoch50, nmse_loss=-6.50403
epoch51, nmse_loss=-6.41019
epoch52, nmse_loss=-6.16537
epoch53, nmse_loss=-6.47448
epoch54, nmse_loss=-6.46578
epoch55, nmse_loss=-6.47400
epoch56, nmse_loss=-6.39211
epoch57, nmse_loss=-6.51118
epoch58, nmse_loss=-6.43496
epoch59, nmse_loss=-6.50761
epoch60, nmse_loss=-6.43172
epoch61, nmse_loss=-6.42497
epoch62, nmse_loss=-6.42593
epoch63, nmse_loss=-6.40052
epoch64, nmse_loss=-6.47074
epoch65, nmse_loss=-6.48577
epoch66, nmse_loss=-6.48677
epoch67, nmse_loss=-6.35626
epoch68, nmse_loss=-6.46332
epoch69, nmse_loss=-6.49705
epoch70, nmse_loss=-5.68836
epoch71, nmse_loss=-6.36397
epoch72, nmse_loss=-6.11254
epoch73, nmse_loss=-6.51938
epoch74, nmse_loss=-6.48648
epoch75, nmse_loss=-6.40481
epoch76, nmse_loss=-6.34147
epoch77, nmse_loss=-6.42878
epoch78, nmse_loss=-5.84003
epoch79, nmse_loss=-6.51447
epoch80, nmse_loss=-6.39623
epoch81, nmse_loss=-6.48599
epoch82, nmse_loss=-6.24500
epoch83, nmse_loss=-6.43148
epoch84, nmse_loss=-6.52082
epoch85, nmse_loss=-6.51410
epoch86, nmse_loss=-6.40905
epoch87, nmse_loss=-6.35935
epoch88, nmse_loss=-6.38225
epoch89, nmse_loss=-6.01364
epoch90, nmse_loss=-6.51135
epoch91, nmse_loss=-6.51337
epoch92, nmse_loss=-6.29259
epoch93, nmse_loss=-6.45490
epoch94, nmse_loss=-6.51329
epoch95, nmse_loss=-6.51140
epoch96, nmse_loss=-6.47653
epoch97, nmse_loss=-6.32470
epoch98, nmse_loss=-6.49347
epoch99, nmse_loss=-6.46757
epoch100, nmse_loss=-6.36377
epoch101, nmse_loss=-6.05983
epoch102, nmse_loss=-6.11392
epoch103, nmse_loss=-6.50562
epoch104, nmse_loss=-5.52579
epoch105, nmse_loss=-6.45124
epoch106, nmse_loss=-6.36939
epoch107, nmse_loss=-6.12521
epoch108, nmse_loss=-6.37861
epoch109, nmse_loss=-6.50477
epoch110, nmse_loss=-6.50267
epoch111, nmse_loss=-6.45693
epoch112, nmse_loss=-6.50218
epoch113, nmse_loss=-6.44788
epoch114, nmse_loss=-6.39375
epoch115, nmse_loss=-6.49639
epoch116, nmse_loss=-6.32743
epoch117, nmse_loss=-6.20629
epoch118, nmse_loss=-6.45377
epoch119, nmse_loss=-6.43851
epoch120, nmse_loss=-6.51675
epoch121, nmse_loss=-6.50034
epoch122, nmse_loss=-6.51242
epoch123, nmse_loss=-6.10642
epoch124, nmse_loss=-6.46300
epoch125, nmse_loss=-6.46065
epoch126, nmse_loss=-6.51596
epoch127, nmse_loss=-6.46511
epoch128, nmse_loss=-6.51059
epoch129, nmse_loss=-6.51696
epoch130, nmse_loss=-6.43404
epoch131, nmse_loss=-6.18705
epoch132, nmse_loss=-6.46817
epoch133, nmse_loss=-6.49895
epoch134, nmse_loss=-6.53203
epoch135, nmse_loss=-6.26857
epoch136, nmse_loss=-6.15334
epoch137, nmse_loss=-6.24467
epoch138, nmse_loss=-5.82232
epoch139, nmse_loss=-6.53159
epoch140, nmse_loss=-6.51997
epoch141, nmse_loss=-6.47221
