checkpoints, 0, epoch, 0001, loss, -1.6453, best_checkpoints, 0, epoch 0001, loss, -1.6453
checkpoints, 0, epoch, 0002, loss, -2.8236, best_checkpoints, 0, epoch 0002, loss, -2.8236
checkpoints, 0, epoch, 0003, loss, -3.4648, best_checkpoints, 0, epoch 0003, loss, -3.4648
checkpoints, 0, epoch, 0004, loss, -4.2793, best_checkpoints, 0, epoch 0004, loss, -4.2793
checkpoints, 0, epoch, 0005, loss, -5.0182, best_checkpoints, 0, epoch 0005, loss, -5.0182
checkpoints, 0, epoch, 0006, loss, -5.5547, best_checkpoints, 0, epoch 0006, loss, -5.5547
checkpoints, 0, epoch, 0007, loss, -5.9224, best_checkpoints, 0, epoch 0007, loss, -5.9224
checkpoints, 0, epoch, 0008, loss, -6.0510, best_checkpoints, 0, epoch 0008, loss, -6.0510
checkpoints, 0, epoch, 0009, loss, -6.2742, best_checkpoints, 0, epoch 0009, loss, -6.2742
checkpoints, 0, epoch, 0011, loss, -6.4008, best_checkpoints, 0, epoch 0011, loss, -6.4008
checkpoints, 0, epoch, 0012, loss, -6.4297, best_checkpoints, 0, epoch 0012, loss, -6.4297
checkpoints, 0, epoch, 0014, loss, -6.4399, best_checkpoints, 0, epoch 0014, loss, -6.4399
checkpoints, 0, epoch, 0017, loss, -6.4433, best_checkpoints, 0, epoch 0017, loss, -6.4433
checkpoints, 0, epoch, 0021, loss, -6.4646, best_checkpoints, 0, epoch 0021, loss, -6.4646
checkpoints, 0, epoch, 0025, loss, -6.4712, best_checkpoints, 0, epoch 0025, loss, -6.4712
checkpoints, 0, epoch, 0031, loss, -6.4855, best_checkpoints, 0, epoch 0031, loss, -6.4855
checkpoints, 0, epoch, 0033, loss, -6.4920, best_checkpoints, 0, epoch 0033, loss, -6.4920
checkpoints, 0, epoch, 0036, loss, -6.5040, best_checkpoints, 0, epoch 0036, loss, -6.5040
checkpoints, 0, epoch, 0044, loss, -6.5079, best_checkpoints, 0, epoch 0044, loss, -6.5079
checkpoints, 0, epoch, 0060, loss, -6.5264, best_checkpoints, 0, epoch 0060, loss, -6.5264
checkpoints, 0, epoch, 0071, loss, -6.5276, best_checkpoints, 0, epoch 0071, loss, -6.5276
checkpoints, 0, epoch, 0080, loss, -6.5304, best_checkpoints, 0, epoch 0080, loss, -6.5304
checkpoints, 0, epoch, 0083, loss, -6.5352, best_checkpoints, 0, epoch 0083, loss, -6.5352
checkpoints, 0, epoch, 0091, loss, -6.5486, best_checkpoints, 0, epoch 0091, loss, -6.5486
checkpoints, 0, epoch, 0110, loss, -6.5531, best_checkpoints, 0, epoch 0110, loss, -6.5531
checkpoints, 0, epoch, 0116, loss, -6.5629, best_checkpoints, 0, epoch 0116, loss, -6.5629
checkpoints, 0, epoch, 0135, loss, -6.5637, best_checkpoints, 0, epoch 0135, loss, -6.5637
checkpoints, 0, epoch, 0138, loss, -6.5761, best_checkpoints, 0, epoch 0138, loss, -6.5761
