checkpoints, 0, epoch, 0001, loss, -1.2154, best_checkpoints, 0, epoch 0001, loss, -1.2154
checkpoints, 0, epoch, 0002, loss, -2.8125, best_checkpoints, 0, epoch 0002, loss, -2.8125
checkpoints, 0, epoch, 0003, loss, -3.7301, best_checkpoints, 0, epoch 0003, loss, -3.7301
checkpoints, 0, epoch, 0004, loss, -4.4241, best_checkpoints, 0, epoch 0004, loss, -4.4241
checkpoints, 0, epoch, 0005, loss, -6.3150, best_checkpoints, 0, epoch 0005, loss, -6.3150
checkpoints, 0, epoch, 0006, loss, -7.6080, best_checkpoints, 0, epoch 0006, loss, -7.6080
checkpoints, 0, epoch, 0007, loss, -8.2596, best_checkpoints, 0, epoch 0007, loss, -8.2596
checkpoints, 0, epoch, 0008, loss, -8.3433, best_checkpoints, 0, epoch 0008, loss, -8.3433
checkpoints, 0, epoch, 0009, loss, -8.9420, best_checkpoints, 0, epoch 0009, loss, -8.9420
checkpoints, 0, epoch, 0010, loss, -9.4026, best_checkpoints, 0, epoch 0010, loss, -9.4026
checkpoints, 0, epoch, 0016, loss, -10.0267, best_checkpoints, 0, epoch 0016, loss, -10.0267
checkpoints, 0, epoch, 0019, loss, -10.0945, best_checkpoints, 0, epoch 0019, loss, -10.0945
checkpoints, 0, epoch, 0021, loss, -10.1411, best_checkpoints, 0, epoch 0021, loss, -10.1411
checkpoints, 0, epoch, 0031, loss, -10.2495, best_checkpoints, 0, epoch 0031, loss, -10.2495
checkpoints, 0, epoch, 0032, loss, -10.5240, best_checkpoints, 0, epoch 0032, loss, -10.5240
checkpoints, 0, epoch, 0043, loss, -10.9977, best_checkpoints, 0, epoch 0043, loss, -10.9977
checkpoints, 0, epoch, 0060, loss, -11.0657, best_checkpoints, 0, epoch 0060, loss, -11.0657
checkpoints, 0, epoch, 0080, loss, -11.2962, best_checkpoints, 0, epoch 0080, loss, -11.2962
checkpoints, 0, epoch, 0105, loss, -11.3874, best_checkpoints, 0, epoch 0105, loss, -11.3874
checkpoints, 0, epoch, 0126, loss, -11.3997, best_checkpoints, 0, epoch 0126, loss, -11.3997
checkpoints, 0, epoch, 0131, loss, -11.4610, best_checkpoints, 0, epoch 0131, loss, -11.4610
checkpoints, 0, epoch, 0152, loss, -11.4684, best_checkpoints, 0, epoch 0152, loss, -11.4684
checkpoints, 0, epoch, 0161, loss, -11.4749, best_checkpoints, 0, epoch 0161, loss, -11.4749
checkpoints, 0, epoch, 0163, loss, -11.4830, best_checkpoints, 0, epoch 0163, loss, -11.4830
