checkpoints, 0, epoch, 0001, loss, -2.8389, best_checkpoints, 0, epoch 0001, loss, -2.8389
checkpoints, 0, epoch, 0002, loss, -4.1107, best_checkpoints, 0, epoch 0002, loss, -4.1107
checkpoints, 0, epoch, 0003, loss, -4.7045, best_checkpoints, 0, epoch 0003, loss, -4.7045
checkpoints, 0, epoch, 0004, loss, -5.3068, best_checkpoints, 0, epoch 0004, loss, -5.3068
checkpoints, 0, epoch, 0005, loss, -5.6833, best_checkpoints, 0, epoch 0005, loss, -5.6833
checkpoints, 0, epoch, 0006, loss, -6.0285, best_checkpoints, 0, epoch 0006, loss, -6.0285
checkpoints, 0, epoch, 0008, loss, -6.3578, best_checkpoints, 0, epoch 0008, loss, -6.3578
checkpoints, 0, epoch, 0012, loss, -6.4057, best_checkpoints, 0, epoch 0012, loss, -6.4057
checkpoints, 0, epoch, 0013, loss, -6.4668, best_checkpoints, 0, epoch 0013, loss, -6.4668
checkpoints, 0, epoch, 0016, loss, -6.4883, best_checkpoints, 0, epoch 0016, loss, -6.4883
checkpoints, 0, epoch, 0017, loss, -6.5222, best_checkpoints, 0, epoch 0017, loss, -6.5222
checkpoints, 0, epoch, 0018, loss, -6.5685, best_checkpoints, 0, epoch 0018, loss, -6.5685
checkpoints, 0, epoch, 0019, loss, -6.6052, best_checkpoints, 0, epoch 0019, loss, -6.6052
checkpoints, 0, epoch, 0020, loss, -8.6004, best_checkpoints, 0, epoch 0020, loss, -8.6004
checkpoints, 0, epoch, 0021, loss, -10.5732, best_checkpoints, 0, epoch 0021, loss, -10.5732
checkpoints, 0, epoch, 0024, loss, -10.8508, best_checkpoints, 0, epoch 0024, loss, -10.8508
checkpoints, 0, epoch, 0025, loss, -11.6381, best_checkpoints, 0, epoch 0025, loss, -11.6381
checkpoints, 0, epoch, 0028, loss, -12.1305, best_checkpoints, 0, epoch 0028, loss, -12.1305
checkpoints, 0, epoch, 0030, loss, -12.4920, best_checkpoints, 0, epoch 0030, loss, -12.4920
checkpoints, 0, epoch, 0039, loss, -12.7854, best_checkpoints, 0, epoch 0039, loss, -12.7854
checkpoints, 0, epoch, 0040, loss, -12.9138, best_checkpoints, 0, epoch 0040, loss, -12.9138
checkpoints, 0, epoch, 0045, loss, -13.2055, best_checkpoints, 0, epoch 0045, loss, -13.2055
checkpoints, 0, epoch, 0051, loss, -13.2250, best_checkpoints, 0, epoch 0051, loss, -13.2250
checkpoints, 0, epoch, 0052, loss, -13.3994, best_checkpoints, 0, epoch 0052, loss, -13.3994
checkpoints, 0, epoch, 0065, loss, -13.5239, best_checkpoints, 0, epoch 0065, loss, -13.5239
checkpoints, 0, epoch, 0068, loss, -13.6816, best_checkpoints, 0, epoch 0068, loss, -13.6816
checkpoints, 0, epoch, 0074, loss, -13.7894, best_checkpoints, 0, epoch 0074, loss, -13.7894
checkpoints, 0, epoch, 0091, loss, -13.8416, best_checkpoints, 0, epoch 0091, loss, -13.8416
checkpoints, 0, epoch, 0112, loss, -13.8991, best_checkpoints, 0, epoch 0112, loss, -13.8991
checkpoints, 0, epoch, 0120, loss, -13.9527, best_checkpoints, 0, epoch 0120, loss, -13.9527
checkpoints, 0, epoch, 0127, loss, -14.0433, best_checkpoints, 0, epoch 0127, loss, -14.0433
checkpoints, 0, epoch, 0131, loss, -14.1772, best_checkpoints, 0, epoch 0131, loss, -14.1772
