checkpoints, 0, epoch, 0135, loss, -21.8390, checkpoints, 1, epoch, 0083, loss, -21.1937, checkpoints, 2, epoch, 0107, loss, -21.2486, checkpoints, 3, epoch, 0110, loss, -21.4275, checkpoints, 4, epoch, 0122, loss, -21.7580, best_checkpoints, 0, epoch 0135, loss, -21.8390
checkpoints, 0, epoch, 0135, loss, -21.8390, checkpoints, 1, epoch, 0164, loss, -22.4759, checkpoints, 2, epoch, 0107, loss, -21.2486, checkpoints, 3, epoch, 0110, loss, -21.4275, checkpoints, 4, epoch, 0122, loss, -21.7580, best_checkpoints, 1, epoch 0164, loss, -22.4759
checkpoints, 0, epoch, 0135, loss, -21.8390, checkpoints, 1, epoch, 0164, loss, -22.4759, checkpoints, 2, epoch, 0181, loss, -22.9767, checkpoints, 3, epoch, 0110, loss, -21.4275, checkpoints, 4, epoch, 0122, loss, -21.7580, best_checkpoints, 2, epoch 0181, loss, -22.9767
checkpoints, 0, epoch, 0135, loss, -21.8390, checkpoints, 1, epoch, 0164, loss, -22.4759, checkpoints, 2, epoch, 0181, loss, -22.9767, checkpoints, 3, epoch, 0206, loss, -23.3679, checkpoints, 4, epoch, 0122, loss, -21.7580, best_checkpoints, 3, epoch 0206, loss, -23.3679
checkpoints, 0, epoch, 0135, loss, -21.8390, checkpoints, 1, epoch, 0164, loss, -22.4759, checkpoints, 2, epoch, 0181, loss, -22.9767, checkpoints, 3, epoch, 0206, loss, -23.3679, checkpoints, 4, epoch, 0207, loss, -23.8532, best_checkpoints, 4, epoch 0207, loss, -23.8532
checkpoints, 0, epoch, 0273, loss, -23.8601, checkpoints, 1, epoch, 0164, loss, -22.4759, checkpoints, 2, epoch, 0181, loss, -22.9767, checkpoints, 3, epoch, 0206, loss, -23.3679, checkpoints, 4, epoch, 0207, loss, -23.8532, best_checkpoints, 0, epoch 0273, loss, -23.8601
checkpoints, 0, epoch, 0273, loss, -23.8601, checkpoints, 1, epoch, 0279, loss, -24.2028, checkpoints, 2, epoch, 0181, loss, -22.9767, checkpoints, 3, epoch, 0206, loss, -23.3679, checkpoints, 4, epoch, 0207, loss, -23.8532, best_checkpoints, 1, epoch 0279, loss, -24.2028
checkpoints, 0, epoch, 0273, loss, -23.8601, checkpoints, 1, epoch, 0279, loss, -24.2028, checkpoints, 2, epoch, 0281, loss, -24.7849, checkpoints, 3, epoch, 0206, loss, -23.3679, checkpoints, 4, epoch, 0207, loss, -23.8532, best_checkpoints, 2, epoch 0281, loss, -24.7849
checkpoints, 0, epoch, 0273, loss, -23.8601, checkpoints, 1, epoch, 0279, loss, -24.2028, checkpoints, 2, epoch, 0281, loss, -24.7849, checkpoints, 3, epoch, 0329, loss, -24.8661, checkpoints, 4, epoch, 0207, loss, -23.8532, best_checkpoints, 3, epoch 0329, loss, -24.8661
checkpoints, 0, epoch, 0273, loss, -23.8601, checkpoints, 1, epoch, 0279, loss, -24.2028, checkpoints, 2, epoch, 0281, loss, -24.7849, checkpoints, 3, epoch, 0329, loss, -24.8661, checkpoints, 4, epoch, 0340, loss, -25.3454, best_checkpoints, 4, epoch 0340, loss, -25.3454
checkpoints, 0, epoch, 0360, loss, -25.4580, checkpoints, 1, epoch, 0279, loss, -24.2028, checkpoints, 2, epoch, 0281, loss, -24.7849, checkpoints, 3, epoch, 0329, loss, -24.8661, checkpoints, 4, epoch, 0340, loss, -25.3454, best_checkpoints, 0, epoch 0360, loss, -25.4580
