epoch1, nmse_loss=-1.64529
epoch2, nmse_loss=-2.82362
epoch3, nmse_loss=-3.46479
epoch4, nmse_loss=-4.27933
epoch5, nmse_loss=-5.01818
epoch6, nmse_loss=-5.55467
epoch7, nmse_loss=-5.92243
epoch8, nmse_loss=-6.05101
epoch9, nmse_loss=-6.27425
epoch10, nmse_loss=-6.26912
epoch11, nmse_loss=-6.40076
epoch12, nmse_loss=-6.42974
epoch13, nmse_loss=-6.37177
epoch14, nmse_loss=-6.43991
epoch15, nmse_loss=-6.30341
epoch16, nmse_loss=-6.39518
epoch17, nmse_loss=-6.44330
epoch18, nmse_loss=-6.44052
epoch19, nmse_loss=-6.35745
epoch20, nmse_loss=-6.23473
epoch21, nmse_loss=-6.46457
epoch22, nmse_loss=-6.44830
epoch23, nmse_loss=-6.23696
epoch24, nmse_loss=-6.42352
epoch25, nmse_loss=-6.47121
epoch26, nmse_loss=-6.11260
epoch27, nmse_loss=-6.42141
epoch28, nmse_loss=-6.44776
epoch29, nmse_loss=-6.41964
epoch30, nmse_loss=-6.26250
epoch31, nmse_loss=-6.48546
epoch32, nmse_loss=-6.47003
epoch33, nmse_loss=-6.49197
epoch34, nmse_loss=-6.23290
epoch35, nmse_loss=-6.48981
epoch36, nmse_loss=-6.50397
epoch37, nmse_loss=-6.47573
epoch38, nmse_loss=-6.32876
epoch39, nmse_loss=-6.27412
epoch40, nmse_loss=-6.44508
epoch41, nmse_loss=-6.45640
epoch42, nmse_loss=-6.50356
epoch43, nmse_loss=-6.17980
epoch44, nmse_loss=-6.50792
epoch45, nmse_loss=-6.50235
epoch46, nmse_loss=-6.13200
epoch47, nmse_loss=-6.19552
epoch48, nmse_loss=-6.43412
epoch49, nmse_loss=-6.20617
epoch50, nmse_loss=-6.45254
epoch51, nmse_loss=-6.48861
epoch52, nmse_loss=-6.33281
epoch53, nmse_loss=-6.44962
epoch54, nmse_loss=-6.35147
epoch55, nmse_loss=-6.13845
epoch56, nmse_loss=-6.32957
epoch57, nmse_loss=-6.32615
epoch58, nmse_loss=-5.63551
epoch59, nmse_loss=-6.25054
epoch60, nmse_loss=-6.52644
epoch61, nmse_loss=-6.48588
epoch62, nmse_loss=-6.26437
epoch63, nmse_loss=-6.36681
epoch64, nmse_loss=-6.26135
epoch65, nmse_loss=-6.51954
epoch66, nmse_loss=-5.97045
epoch67, nmse_loss=-6.17924
epoch68, nmse_loss=-6.35695
epoch69, nmse_loss=-5.82926
epoch70, nmse_loss=-6.33786
epoch71, nmse_loss=-6.52764
epoch72, nmse_loss=-6.42770
epoch73, nmse_loss=-6.43808
epoch74, nmse_loss=-6.42587
epoch75, nmse_loss=-6.47725
epoch76, nmse_loss=-6.52709
epoch77, nmse_loss=-6.45328
epoch78, nmse_loss=-6.27588
epoch79, nmse_loss=-6.21084
epoch80, nmse_loss=-6.53038
epoch81, nmse_loss=-6.53019
epoch82, nmse_loss=-5.93454
epoch83, nmse_loss=-6.53523
epoch84, nmse_loss=-6.47053
epoch85, nmse_loss=-6.17422
epoch86, nmse_loss=-6.47723
epoch87, nmse_loss=-6.35386
epoch88, nmse_loss=-6.11365
epoch89, nmse_loss=-6.53474
epoch90, nmse_loss=-6.33338
epoch91, nmse_loss=-6.54863
epoch92, nmse_loss=-6.44143
epoch93, nmse_loss=-6.32146
epoch94, nmse_loss=-6.52526
epoch95, nmse_loss=-5.60360
epoch96, nmse_loss=-6.54040
epoch97, nmse_loss=-6.47561
epoch98, nmse_loss=-6.53969
epoch99, nmse_loss=-5.70102
epoch100, nmse_loss=-6.49927
epoch101, nmse_loss=-5.85472
epoch102, nmse_loss=-6.51747
epoch103, nmse_loss=-6.51302
epoch104, nmse_loss=-6.21032
epoch105, nmse_loss=-6.51830
epoch106, nmse_loss=-6.43459
epoch107, nmse_loss=-6.51823
epoch108, nmse_loss=-6.47861
epoch109, nmse_loss=-6.54616
epoch110, nmse_loss=-6.55308
epoch111, nmse_loss=-6.38875
epoch112, nmse_loss=-6.00885
epoch113, nmse_loss=-6.45342
epoch114, nmse_loss=-6.45114
epoch115, nmse_loss=-6.49146
epoch116, nmse_loss=-6.56295
epoch117, nmse_loss=-6.34157
epoch118, nmse_loss=-6.52298
epoch119, nmse_loss=-6.07215
epoch120, nmse_loss=-6.34026
epoch121, nmse_loss=-6.53236
epoch122, nmse_loss=-6.45611
epoch123, nmse_loss=-6.52407
epoch124, nmse_loss=-6.23024
epoch125, nmse_loss=-5.90470
epoch126, nmse_loss=-6.56273
epoch127, nmse_loss=-6.43179
epoch128, nmse_loss=-6.48030
epoch129, nmse_loss=-6.54717
epoch130, nmse_loss=-6.49127
epoch131, nmse_loss=-6.22957
epoch132, nmse_loss=-6.43981
epoch133, nmse_loss=-6.49537
epoch134, nmse_loss=-6.32044
epoch135, nmse_loss=-6.56373
epoch136, nmse_loss=-6.56367
epoch137, nmse_loss=-6.48503
epoch138, nmse_loss=-6.57614
epoch139, nmse_loss=-6.44712
epoch140, nmse_loss=-6.47642
epoch141, nmse_loss=-6.39211
epoch142, nmse_loss=-6.25199
